Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
245230,44,40,124937,1071,9100,0,2839.477273,1839.508257,517,0,26.775,109.1880259,513835.9907,342.5355788,2954.578313,7953.221927,64066,-44,238564,5548.0,10446.29576,64066,2,245230,6287.948718,12986.46879,79070,29,0,0,0,0,880,804,179.4233984,163.1121804,0,9100,1482.447059,1933.268313,3737526.369,0,1,0,0,1,0,0,0,0,1500.095238,2839.477273,26.775,0,0,0,0,0,0,44,124937,40,1071,-1,65535,41,0,0.0,0.0,0,0,0.0,0.0,0,0,0
1605449,107,149,1071,439537,517,0,10.00934579,67.49667991,27300,0,2949.912752,3012.589539,274445.3421,159.4569494,6295.878431,56408.33052,859760,-102,1332121,12567.17925,83434.14155,861138,2,1603130,10831.95946,73926.65245,861129,1,0,0,0,0,2140,3004,66.64802183,92.8089276,0,27300,1714.428016,2713.465917,7362897.285,0,1,0,0,0,0,0,0,1,1721.125,10.00934579,2949.912752,0,0,0,0,0,0,107,1071,149,439537,-1,64240,4,0,0.0,0.0,0,0,0.0,0.0,0,0,0
53078,5,5,66,758,66,0,13.2,29.5160973,638,0,151.6,276.8262993,15524.32269,188.4019745,5897.555556,15184.8452,46232,19,50302,12575.5,22521.87727,46251,67,52962,13240.5,22052.04405,46258,405,0,0,0,0,100,124,94.20098723,94.20098723,0,638,74.90909091,190.8074708,36407.49091,0,1,0,0,0,0,0,0,1,82.4,13.2,151.6,0,0,0,0,0,0,5,66,5,758,-1,64240,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
6975,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,286.7383513,6975.0,0.0,6975,6975,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,143.3691756,143.3691756,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,64239,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0
190141,13,16,780,11085,427,0,60.0,130.0429416,2596,0,692.8125,794.1573495,62401.06027,152.5183942,6790.75,12933.29591,38521,-54,86882,7240.166667,13050.84163,38805,1,190141,12676.06667,15949.09279,38521,1,0,0,0,0,260,344,68.37031466,84.14807958,0,2596,395.5,661.691706,437835.9138,0,1,0,0,0,0,0,0,1,409.137931,60.0,692.8125,0,0,0,0,0,0,13,780,16,11085,-1,64240,3,0,0.0,0.0,0,0,0.0,0.0,0,0,0
4781,2,1,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,6483.999163,627.48379,2390.5,1427.648591,3400,1381,1381,1381.0,0.0,1381,1381,0,0.0,0.0,0,0,0,0,0,0,40,20,418.3225267,209.1612633,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,53440,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
193869,13,16,780,11085,427,0,60.0,130.0429416,1336,0,692.8125,647.3066475,61201.12034,149.5855449,6923.892857,13383.26289,43932,-20,81284,6773.666667,11899.54001,38755,2,193869,12924.6,16437.44606,43932,1,0,0,0,0,260,344,67.05558908,82.52995579,0,1336,395.5,573.0150597,328346.2586,0,1,0,0,0,0,0,0,1,409.137931,60.0,692.8125,0,0,0,0,0,0,13,780,16,11085,-1,64240,3,0,0.0,0.0,0,0,0.0,0.0,0,0,0
1536,2,1,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,20182.29167,1953.125,768.0,94.75230868,835,701,835,835.0,0.0,835,835,0,0.0,0.0,0,0,0,0,0,0,40,20,1302.083333,651.0416667,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0.0,0,0,0,0,0,0,2,31,1,0,-1,54776,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
80,1,1,0,31,0,0,0.0,0.0,31,31,31.0,0.0,387500.0,25000.0,80.0,0.0,80,80,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,1,0,0,20,20,12500.0,12500.0,0,31,20.66666667,17.89785834,320.3333333,0,0,0,1,1,0,0,0,1,31.0,0.0,31.0,0,0,0,0,0,0,1,0,1,31,-1,30016,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0
3609,2,2,31,46,31,0,15.5,21.92031022,46,0,23.0,32.52691193,21335.55001,1108.34026,1203.0,1132.160324,2346,82,82,82.0,0.0,82,82,1181,1181.0,0.0,1181,1181,0,1,0,0,40,40,554.1701302,554.1701302,0,46,24.6,23.27659769,541.8,0,0,0,1,1,0,0,0,1,30.75,15.5,23.0,0,0,0,0,0,0,2,31,2,46,-1,64240,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0
